Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Average annual snowfall (in),Date statistics updated
Ski Bromont,Bromont,Quebec,1854,590,1264,450,141.0,9.0,190,"January 29, 2025"
Apex Mountain Resort,Penticton,British Columbia,7197,5197,2000,1112,79.0,4.0,236,"January 29, 2025[1]"
Canyon Ski Area,Red Deer,Alberta,2950,2412,538,80,23.0,6.0,45,"January 29, 2025"
Fernie Alpine Resort,Fernie,British Columbia,7000,3450,3550,2500,142.0,10.0,360,"January 29, 2025[2]"
Marble Mountain Ski Resort,Steady Brook,Newfoundland and Labrador,1791,33,1759,285,40.0,5.0,192,"January 29, 2025"
White Hills Ski Resort,Clarenville,Newfoundland and Labrador,1227,482,745,55,27.0,2.0,100,"January 29, 2025"
Ski Wentworth,Wentworth,Nova Scotia,990,715,815,150,20.0,3.0,150,"January 29, 2025"
Mount Sima,Whitehorse,Yukon,3900,2857,1043,92,15.0,3.0,,"January 29, 2025"
Shames Mountain,Terrace,British Columbia,3900,2300,1600,225,28.0,3.0,480,"January 29, 2025"
Castle Mountain Resort [1],Pincher Creek,Alberta,7463,4630,2833,3592,94.0,6.0,354,"January 29, 2025[3]"
Bolton Valley [2],Waterbury,Vermont,3150,2100,1704,300,71.0,6.0,312,"January 29, 2025[4]"
Ski Cooper [3],Leadville,Colorado,11700,10500,1200,470,60.0,5.0,260,"January 29, 2025"
Grand Targhee Resort [4],Alta,Wyoming,10121,7851,2270,2602,99.0,5.0,500,"September 19, 2019[5]"
Stratton Mountain Resort [5],Winhall,Vermont,3875,1872,2003,670,99.0,11.0,171,"September 9, 2019[6]"
Mt. Rose Ski Tahoe,Reno,Nevada,9700,8260,1800,1200,60.0,8.0,396,"November 7, 2019[7]"
Soldier Mountain,Fairfield,Idaho,7177,5756,1400,1180,36.0,2.0,,"November 7, 2019[8]"
Pomerelle Mountain Resort,Albion,Idaho,9000,8000,1000,500,24.0,2.0,500,"November 7, 2019[9]"
Schweitzer,Sandpoint,Idaho,6400,4000,2400,2900,92.0,7.0,300,"November 7, 2019[10]"
Brundage Mountain,McCall,Idaho,7803,5882,1921,1920,46.0,5.0,320,"November 7, 2019[11]"
Bogus Basin,Boise,Idaho,7582,5800,1800,2600,78.0,7.0,200,"November 7, 2019[12]"
Sun Valley,Sun Valley,Idaho,9150,5750,3400,2563,121.0,18.0,220[13],"November 7, 2019[14]"
Panorama Mountain Resort,Invermere,British Columbia,7792,3773,4019,2847,120.0,10.0,196,"October, 2016[15][16]"
Whitefish Mountain Resort,Kalispell,Montana,6817,4464,2353,3000,105.0,14.0,300,"November 16, 2023"
Arizona Snowbowl,Flagstaff,Arizona,11500,9200,2300,777,40.0,7.0,260,"November 7, 2019[17][18]"
Telluride Ski Resort,Telluride,Colorado,13150,8725,4425,2000,147.0,18.0,309,"December 11, 2019"
Arapahoe Basin,Keystone,Colorado,13050,10520,2530,1428,147.0,9.0,350,"November 5, 2019[19]"
Pajarito Mountain Ski Area [6],Los Alamos,New Mexico,10440,9000,1440,750,44.0,5.0,163,"December 11, 2019"
Taos Ski Valley [7],Taos,New Mexico,12481,9200,3281,1294,110.0,14.0,300,"September 9, 2019[20]"
Ski Santa Fe [8],Santa Fe,New Mexico,12075,10350,1725,660,83.0,7.0,225,"September 9, 2019[21]"
Big Sky Resort,Bozeman,Montana,11166,6800,4350,5850,320.0,40.0,400,"November 24, 2023[22]"
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10900,9900,1000,600,9.0,2.0,,"November 16, 2023"
Jackson Hole Mountain Resort,Teton Village,Wyoming,10450,6311,4139,2500,133.0,15.0,459,"November 7, 2019[23]"
Loveland Ski Area,Georgetown,Colorado,13010,10800,2210,1800,94.0,11.0,422,"November 7, 2019[24]"
Revelstoke Mountain Resort,Revelstoke,British Columbia,7300,1680,5620,3121,75.0,5.0,413,"March 16, 2019[25]"
Mount Ashland Ski Area,Ashland,Oregon,7533,6383,1150,220,23.0,5.0,265,"September 29, 2019"
Keystone Resort,Keystone,Colorado,12408,9280,3128,3149,139.0,20.0,235,"March 5, 2024"
Breckenridge Ski Resort,Breckenridge,Colorado,12998,9600,3398,2908,187.0,34.0,353,"December 11, 2019"
Palisades Tahoe [9],Truckee,California,9050,6200,2850,6000,277.0,39.0,450,"November 24, 2023[26]"
Mammoth Mountain,Mammoth Lakes,California,11053,7953,3100,3500,150.0,28.0,420,"December 11, 2019"
Heavenly Mountain Resort [10],South Lake Tahoe,California,10067,7200,3500,4800,94.0,30.0,360,"December 11, 2019"
Mount Shasta Ski Park,Mount Shasta,California,9200,7800,1435,425,32.0,4.0,275,"December 11, 2019"
Boreal,Soda Springs,California,7700,7200,500,380,41.0,8.0,400,"December 11, 2019[27]"
Donner Ski Ranch,Norden,California,7781,7031,750,435,52.0,8.0,400,"December 11, 2019"
Homewood,Homewood,California,7881,6223,1658,1260,60.0,7.0,400,"December 11, 2019"
Kirkwood,Kirkwood,California,9800,7800,2000,2300,86.0,15.0,500,"October 29, 2019"
Northstar California,Truckee,California,8610,6330,2280,2904,93.0,19.0,350,"December 11, 2019"
Sierra-at-Tahoe,Twin Bridges,California,8852,6640,2212,2000,46.0,12.0,480,"December 11, 2019"
Sugar Bowl,Norden,California,8383,6883,1500,1500,94.0,13.0,500,"December 11, 2019"
Soda Springs,Soda Springs,California,7325,6673,652,200,15.0,2.0,400,"December 11, 2019"
Tahoe Donner,Truckee,California,7350,6750,600,120,10.0,3.0,400,"December 11, 2019"
Badger Pass,Yosemite National Park,California,8000,7200,800,90,10.0,5.0,300,"December 11, 2019"
Bear Valley,Angels Camp,California,8500,6600,1900,1280,67.0,10.0,359,"December 11, 2019"
Dodge Ridge,Sonora,California,8200,6600,1600,832,62.0,12.0,300,"December 11, 2019"
June Mountain,June Lake,California,10090,7545,2590,500,35.0,7.0,250,"December 11, 2019"
China Peak,Lakeshore,California,8709,7030,1673,1200,45.0,11.0,300,"December 11, 2019"
Alta Sierra Archived 2019-09-23 at the Wayback Machine,Wofford Heights,California,7091,6491,600,,6.0,2.0,80[28],"December 11, 2019[29]"
Buckhorn Ski and Snowboard Club,Three Points,California,7903,7203,680,40,5.0,2.0,180,"April 20, 2012"
Bear Mountain,Big Bear Lake,California,8805,7104,1665,198,24.0,12.0,100,"December 11, 2019"
Mount Baldy Ski Lifts,Mount Baldy,California,8600,6500,2100,800,26.0,4.0,170,"December 11, 2019"
Mount Waterman,Three Points,California,8030,7000,1030,150,27.0,3.0,180,"December 11, 2019"
Mountain High,Wrightwood,California,8200,6600,1600,290,59.0,13.0,132[30],"December 11, 2019"
Snow Summit,Big Bear Lake,California,8174,6965,1209,240,30.0,14.0,100,"December 11, 2019[31]"
Snow Valley Mountain Resort,Running Springs,California,7841,6800,1041,240,29.0,12.0,150,"December 11, 2019"
Wolf Creek Ski Area,Pagosa Springs,Colorado,11904,10300,1604,1600,77.0,7.0,465,"December 11, 2019"
Kicking Horse Resort,Golden,British Columbia,8218,3900,4314,3486,120.0,3.0,295,"March 16, 2019[32]"
Eldora Mountain Resort [11],Nederland,Colorado,10600,9400,1200,680,53.0,12.0,300,"December 11, 2019"
Alyeska Resort [12],Girdwood,Alaska,3939,250,2500,1400,73.0,9.0,643,"November 7, 2019"
Marmot Basin [13],Jasper,Alberta,8570,5570,3000,1675,86.0,8.0,160,"September 19, 2019"
Lake Louise Mountain Resort [14],Lake Louise,Alberta,8650,5400,3250,4200,139.0,9.0,180[33],"February 14, 2014"
Big White Ski Resort [15],Kelowna,British Columbia,7606,4950,2656,2800,119.0,16.0,294,"January 29, 2025"
Silver Star Mountain Resort [16],Vernon,British Columbia,6282,3789,2500,3269,132.0,12.0,275,"February 4, 2025"
Whistler Blackcomb [17],Whistler,British Columbia,7494,2140,5280,8171,200.0,26.0,404,"December 23, 2017"
Steamboat Springs [18],Steamboat Springs,Colorado,10568,6900,3668,3741,182.0,23.0,314,"November 24, 2023[34]"
Copper Mountain (Colorado) [19],Frisco,Colorado,12313,9712,2601,2450,126.0,22.0,282,"December 11, 2019"
Vail Ski Resort,Vail,Colorado,11570,8120,3450,5289,195.0,31.0,354,"March 29, 2023"
